id,naslov,avtor,povprecna_ocena,st_ocen,score
17267,The Great Divorce,C.S. Lewis,4.28,88410,5.101
3690,The Power and the Glory,Graham Greene,3.99,26014,5.087
7967,Speaker for the Dead,Orson Scott Card,4.05,197590,5.085
348573,The Borrowers,Mary Norton,4.03,82410,5.084
106096,Death on the Installment Plan,Louis-Ferdinand Céline,4.22,6030,5.078
16793,Stardust,Neil Gaiman,4.08,302529,5.040
53064,Death in Venice and Other Tales,Thomas Mann,3.88,17825,5.037
293918,Song of Myself,Walt Whitman,4.17,10633,5.025
24830,The Illustrated Man,Ray Bradbury,4.14,65432,5.023
68783,"Girl, Interrupted",Susanna Kaysen,3.90,162731,5.022
135836,Trainspotting,Irvine Welsh,4.09,121670,4.997
42603,Black Like Me,John Howard Griffin,4.13,53869,4.931
17343,Till We Have Faces,C.S. Lewis,4.19,44315,4.873
46164,Tender Is the Night,F. Scott Fitzgerald,3.83,97755,4.866
3692,The Heart of the Matter,Graham Greene,3.99,22970,4.855
5932,Twenty Love Poems and a Song of Despair,Pablo Neruda,4.31,41298,4.760
45974,The Book of Disquiet,Fernando Pessoa,4.48,16262,4.750
216363,The Man in the High Castle,Philip K. Dick,3.64,132652,4.746
30043,A River Runs Through It and Other Stories,Norman Maclean,4.17,19557,4.729
65641,The Silver Chair,C.S. Lewis,3.96,203310,4.709
80890,Buddenbrooks: The Decline of a Family,Thomas Mann,4.14,17842,4.706
19534,The Brothers K,David James Duncan,4.39,12593,4.680
11741,Housekeeping,Marilynne Robinson,3.82,34367,4.677
285092,High Fidelity,Nick Hornby,3.94,159311,4.655
82192,The Crystal Cave,Mary  Stewart,4.13,38900,4.634
12657,The Source,James A. Michener,4.30,35688,4.606
6882,Papillon,Henri Charrière,4.24,47232,4.537
6853,One for the Money,Janet Evanovich,4.03,438528,4.528
112537,Rendezvous with Rama,Arthur C. Clarke,4.08,114156,4.525
2054,The Long Goodbye,Raymond Chandler,4.22,27704,4.495
4271,About a Boy,Nick Hornby,3.79,116790,4.478
12172,Memoirs of Hadrian,Marguerite Yourcenar,4.25,14409,4.467
412732,The Dharma Bums,Jack Kerouac,3.94,72488,4.440
3008,A Little Princess,Frances Hodgson Burnett,4.19,246627,4.439
11229,"The Sea, the Sea",Iris Murdoch,3.91,13795,4.433
80176,"Winesburg, Ohio",Sherwood Anderson,3.84,27103,4.403
12083,Long Day's Journey Into Night,Eugene O&#39;Neill,4.07,32497,4.372
9791,A Walk in the Woods,Bill Bryson,4.05,298654,4.370
39058,The Gormenghast Novels,Mervyn Peake,3.99,7708,4.368
30672,Darkness at Noon,Arthur Koestler,4.07,21846,4.350
612188,"Memories, Dreams, Reflections",C.G. Jung,4.20,20075,4.331
321552,The Agony and the Ecstasy,Irving Stone,4.07,71083,4.327
103159,The Forsyte Saga,John Galsworthy,4.16,17034,4.314
227265,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,3.98,71454,4.312
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.07,388083,4.306
38723,The Feminine Mystique,Betty Friedan,3.86,18370,4.299
19494,The Spy Who Came In from the Cold,John le Carré,4.07,56298,4.291
228630,Black Boy,Richard Wright,4.04,43385,4.276
53413,Hopscotch,Julio Cortázar,4.25,24032,4.254
139253,The House on Mango Street,Sandra Cisneros,3.60,100441,4.241
10222,The Far Pavilions,M.M. Kaye,4.20,37128,4.147
11734,The Human Stain,Philip Roth,3.86,29185,4.145
15195,The Complete Maus,Art Spiegelman,4.54,101405,4.137
143534,The Gift of the Magi,O. Henry,4.08,74655,4.135
306654,Cold Sassy Tree,Olive Ann Burns,4.00,92427,4.105
269589,The Cantos,Ezra Pound,3.92,4936,4.098
5364,Dragonfly in Amber,Diana Gabaldon,4.32,240144,4.064
318742,The Souls of Black Folk,W.E.B. Du Bois,4.27,27682,4.015
10037,No Exit and Three Other Plays,Jean-Paul Sartre,4.10,24240,4.012
11768,The Hotel New Hampshire,John Irving,3.90,53467,4.007
92508,The Bridge of San Luis Rey,Thornton Wilder,3.80,26542,3.995
7624,Lord of the Flies,William Golding,3.66,1847507,3.990
10374,Hard-Boiled Wonderland and the End of the World,Haruki Murakami,4.15,88606,3.986
7996,Redwall,Brian Jacques,4.12,91443,3.984
84981,Tuck Everlasting,Natalie Babbitt,3.86,198286,3.945
27208,The Third Policeman,Flann O&#39;Brien,4.02,13957,3.944
38787,Pedro Páramo,Juan Rulfo,4.05,31298,3.930
368772,The Caine Mutiny,Herman Wouk,4.24,18326,3.885
7572,Even Cowgirls Get the Blues,Tom Robbins,3.75,46376,3.864
8073,Cloudy With a Chance of Meatballs,Judi Barrett,4.16,111006,3.853
159178,North and South,John Jakes,4.20,52542,3.821
1624,West with the Night,Beryl Markham,4.18,25275,3.803
80410,Four Quartets,T.S. Eliot,4.37,12591,3.788
9646,Homage to Catalonia,George Orwell,4.14,31348,3.786
44597,Wide Sargasso Sea,Jean Rhys,3.57,51742,3.777
92780,Cold Comfort Farm,Stella Gibbons,3.91,36523,3.771
3140,The Bridge on the Drina,Ivo Andrić,4.32,12142,3.770
29127,The Last Unicorn,Peter S. Beagle,4.18,86497,3.763
17349,The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,4.27,49052,3.750
8282,The Long Winter,Laura Ingalls Wilder,4.13,70316,3.742
11990,The Rebel: An Essay on Man in Revolt,Albert Camus,4.13,10199,3.729
14817,A Scanner Darkly,Philip K. Dick,4.03,71731,3.727
228296,Rosemary's Baby,Ira Levin,3.98,94214,3.705
18989,"Tinker, Tailor, Soldier, Spy",John le Carré,4.05,57053,3.702
72003,Angels in America,Tony Kushner,4.31,13010,3.701
105986,The Code of the Woosters,P.G. Wodehouse,4.36,18984,3.696
18452,The Painted Bird,Jerzy Kosiński,3.94,17789,3.692
74406,Fifth Business,Robertson Davies,4.04,14858,3.612
123632,Man and His Symbols,C.G. Jung,4.18,16328,3.597
40425,Tarzan of the Apes,Edgar Rice Burroughs,3.89,35710,3.585
29718,The Confusions of Young Törless,Robert Musil,3.75,5806,3.550
297226,Autumn Sonata: Selected Poems,Georg Trakl,4.68,369,3.523
9593,Galápagos,Kurt Vonnegut,3.87,59099,3.521
10987,Voyager,Diana Gabaldon,4.39,215078,3.510
76171,We,Yevgeny Zamyatin,3.94,55166,3.484
381440,The Society of the Spectacle,Guy Debord,4.03,12219,3.479
63913,Trout Fishing in America,Richard Brautigan,3.81,10127,3.476
11230,The Bell,Iris Murdoch,3.88,5217,3.464
547094,I Am Legend and Other Stories,Richard Matheson,3.99,109995,3.461
59219,The Talisman,Stephen King,4.13,95667,3.458
5809,V.,Thomas Pynchon,3.96,17421,3.449
205476,Our Town,Thornton Wilder,3.65,39579,3.419
12527,Pilgrim at Tinker Creek,Annie Dillard,4.11,18970,3.416
61535,The Selfish Gene,Richard Dawkins,4.13,113980,3.416
275,The Lover,Marguerite Duras,3.75,29005,3.408
179780,The Exorcist,William Peter Blatty,4.15,151091,3.360
545951,Death Comes for the Archbishop,Willa Cather,3.89,25433,3.347
395090,Ariel,Sylvia Plath,4.22,45432,3.320
22034,The Godfather,Mario Puzo,4.37,289474,3.313
321538,Collected Poems,W.H. Auden,4.27,5686,3.289
11761,Underworld,Don DeLillo,3.92,24232,3.279
606818,"Holy Blood, Holy Grail",Henry Lincoln,3.48,10865,3.275
64216,Guards! Guards!,Terry Pratchett,4.33,135865,3.263
9014,The Long Walk,Richard Bachman,4.11,90693,3.263
5291314,Lord Jim,Joseph Conrad,3.62,24700,3.239
3478,Message in a Bottle,Nicholas Sparks,3.95,203244,3.213
41193,A Thousand Acres,Jane Smiley,3.80,52825,3.201
9566,Still Life with Woodpecker,Tom Robbins,4.04,64887,3.165
8253,Little Town on the Prairie,Laura Ingalls Wilder,4.18,75375,3.129
7944648,House of Sand and Fog,Andre Dubus III,3.84,112572,3.115
210834,Kim,Rudyard Kipling,3.72,29708,3.112
10034,The Age of Reason,Jean-Paul Sartre,3.98,10537,3.086
13103,The Celestine Prophecy,James Redfield,3.62,83595,3.083
5349,The Rainmaker,John Grisham,3.92,151112,3.076
530965,The Day of the Triffids,John Wyndham,4.01,75035,3.072
12468,The Executioner's Song,Norman Mailer,4.07,16549,3.052
73968,Love Story,Erich Segal,3.61,48018,3.050
357636,Civilization and Its Discontents,Sigmund Freud,3.76,26671,3.039
46165,This Side of Paradise,F. Scott Fitzgerald,3.68,52399,3.016
99664,The Painted Veil,W. Somerset Maugham,3.92,30846,2.988
48757,The Tao of Pooh,Benjamin Hoff,4.02,86054,2.982
55030,Cosmos,Carl Sagan,4.36,95956,2.969
24983,Doomsday Book,Connie Willis,4.03,41337,2.967
272895,The Black Stallion,Walter Farley,4.18,65279,2.966
61975,Dragonflight,Anne McCaffrey,4.10,112897,2.962
18796,In Search of Lost Time,Marcel Proust,4.34,8602,2.951
11573,The Dead Zone,Stephen King,3.91,150405,2.946
22590,Ubik,Philip K. Dick,4.11,68014,2.884
676737,Grendel,John Gardner,3.69,29182,2.877
6194,Waiting for the Barbarians,J.M. Coetzee,3.94,21109,2.863
50033,Dandelion Wine,Ray Bradbury,4.09,45566,2.856
9590,"God Bless You, Mr. Rosewater",Kurt Vonnegut,3.95,49577,2.841
80616,The Thin Man,Dashiell Hammett,3.96,23888,2.829
32234,White Oleander,Janet Fitch,3.95,268121,2.825
166997,Stoner,John  Williams,4.29,70806,2.807
12448,"Look Homeward, Angel",Thomas Wolfe,3.94,11454,2.793
28921,The Remains of the Day,Kazuo Ishiguro,4.11,156978,2.785
46231,The Portable Dorothy Parker,Dorothy Parker,4.34,10766,2.772
586472,The Right Stuff,Tom Wolfe,4.24,36886,2.767
29209,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,4.08,91380,2.742
59924,The Lathe of Heaven,Ursula K. Le Guin,4.10,40794,2.723
243598,The Sheltering Sky,Paul Bowles,3.91,21984,2.719
72657,Pedagogy of the Oppressed,Paulo Freire,4.26,20065,2.708
51504,Post Office,Charles Bukowski,3.99,77375,2.679
40496,How Green Was My Valley,Richard Llewellyn,4.16,13015,2.667
28859,The Gospel According to Jesus Christ,José Saramago,4.27,19566,2.635
152380,Mary Poppins,P.L. Travers,4.04,96714,2.634
43448,Flowers in the Attic,V.C. Andrews,3.80,134841,2.615
270032,Seven Years in Tibet,Heinrich Harrer,4.07,14888,2.601
816,Cryptonomicon,Neal Stephenson,4.25,88729,2.601
703292,The Witch of Blackbird Pond,Elizabeth George Speare,3.98,121476,2.594
5197,A Lesson Before Dying,Ernest J. Gaines,3.94,45499,2.590
23878,Chronicle of a Death Foretold,Gabriel García Márquez,3.96,95501,2.578
58027,Alias Grace,Margaret Atwood,4.01,84522,2.578
42933,Tai-Pan,James Clavell,4.26,39846,2.547
22232,Stargirl,Jerry Spinelli,3.75,265114,2.539
7442,The Electric Kool-Aid Acid Test,Tom Wolfe,3.92,62443,2.530
48132,My Family and Other Animals,Gerald Durrell,4.25,28730,2.528
16527,Daughter of Fortune,Isabel Allende,3.89,102739,2.526
107291,Needful Things,Stephen King,3.89,176844,2.522
163977,Tortilla Flat,John Steinbeck,3.83,38159,2.504
64417,The Threepenny Opera,Bertolt Brecht,3.97,9272,2.491
179033,"The Chronicles of Thomas Covenant, the Unbeliever",Stephen R. Donaldson,3.79,13201,2.481
42696,Trinity,Leon Uris,4.24,18250,2.474
38503,Tales of Ordinary Madness,Charles Bukowski,3.98,18424,2.471
11125,Digital Fortress,Dan Brown,3.63,495893,2.471
29044,The Secret History,Donna Tartt,4.09,225110,2.464
5174,Fall on Your Knees,Ann-Marie MacDonald,3.95,57280,2.463
5168,Where the Heart Is,Billie Letts,4.01,219551,2.462
56674,Empire of the Sun,J.G. Ballard,3.98,14417,2.459
37095,The Shell Seekers,Rosamunde Pilcher,4.14,85444,2.457
95819,The Poetry of Robert Frost,Robert Frost,4.23,37040,2.447
16729,Beach Music,Pat Conroy,4.14,39432,2.442
240485,Storm of Steel,Ernst Jünger,4.09,6950,2.425
5114,"Raise High the Roof Beam, Carpenters and Seymour: An Introduction",J.D. Salinger,4.11,43109,2.424
91440,Love Medicine,Louise Erdrich,3.99,18770,2.402
106264,"Sarah, Plain and Tall",Patricia MacLachlan,3.74,63411,2.398
159835,Thoughts from Walden Pond,Henry David Thoreau,3.76,1914,2.394
232576,Harriet the Spy,Louise Fitzhugh,3.95,89986,2.391
87985,A Soldier of the Great War,Mark Helprin,4.35,5983,2.383
7882,On the Banks of Plum Creek,Laura Ingalls Wilder,4.19,84074,2.381
32769,At the Mountains of Madness and Other Tales of Terror,H.P. Lovecraft,4.25,20846,2.377
9784,Women in Love,D.H. Lawrence,3.66,26394,2.371
51933,Madness and Civilization: A History of Insanity in the Age of Reason,Michel Foucault,4.10,9281,2.353
517188,The Prime of Miss Jean Brodie,Muriel Spark,3.75,36085,2.349
48467,Wise Blood,Flannery O&#39;Connor,3.87,22696,2.347
169718,Babbitt,Sinclair Lewis,3.65,19416,2.347
6551,Herzog,Saul Bellow,3.78,17067,2.344
29946,Illusions: The Adventures of a Reluctant Messiah,Richard Bach,4.14,50808,2.343
342049,Growth of the Soil,Knut Hamsun,4.24,6166,2.337
7742,"Ahab's Wife, or The Star-Gazer",Sena Jeter Naslund,4.03,40624,2.334
113091,A Death in the Family,James Agee,3.92,12623,2.317
88077,The Magic Mountain,Thomas Mann,4.14,28790,2.314
9370,Skinny Legs and All,Tom Robbins,4.04,38180,2.311
89717,The Haunting of Hill House,Shirley Jackson,3.89,84232,2.311
77566,Hyperion,Dan Simmons,4.22,148411,2.309
9516,Persepolis: The Story of a Childhood,Marjane Satrapi,4.24,133921,2.296
63697,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,4.05,132773,2.295
4796,The Winter of Our Discontent,John Steinbeck,3.99,33744,2.290
541803,The Complete Father Brown,G.K. Chesterton,4.07,6607,2.284
30118,A Light in the Attic,Shel Silverstein,4.34,336097,2.263
25905,Beneath the Wheel,Hermann Hesse,3.83,11535,2.262
43758,The Queen of the Damned,Anne Rice,3.88,124348,2.260
32682,Patriot Games,Tom Clancy,4.13,165417,2.254
40189,A Year in Provence,Peter Mayle,3.95,53759,2.240
294459,Miss Lonelyhearts / The Day of the Locust,Nathanael West,3.91,8792,2.238
11376,Main Street,Sinclair Lewis,3.76,22042,2.234
5787,The Aleph and Other Stories,Jorge Luis Borges,4.38,25809,2.229
78411,The Bad Beginning,Lemony Snicket,3.92,330933,2.226
18999,Smiley's People,John le Carré,4.26,27929,2.224
68811,Momo,Michael Ende,4.30,40204,2.224
77156,Plainsong,Kent Haruf,4.01,53644,2.221
12467,The Naked and the Dead,Norman Mailer,3.94,21389,2.220
59960,Batman: The Dark Knight Returns,Frank Miller,4.25,149820,2.219
47401,Chocolat,Joanne Harris,3.95,99874,2.218
394469,Suttree,Cormac McCarthy,4.18,15443,2.208
3758,Casino Royale,Ian Fleming,3.74,52927,2.207
9820,Crossing to Safety,Wallace Stegner,4.16,32027,2.201
6217,Kristin Lavransdatter,Sigrid Undset,4.28,7270,2.195
133430,Centennial,James A. Michener,4.23,35700,2.194
77287,Independent People,Halldór Kiljan Laxness,4.18,7468,2.163
10625,Dolores Claiborne,Stephen King,3.84,109199,2.161
11366,The Guns of August,Barbara W. Tuchman,4.17,45221,2.155
4985,Welcome to the Monkey House,Kurt Vonnegut,4.14,47251,2.148
74403,The Deptford Trilogy: Fifth Business/The Manticore/World of Wonders,Robertson Davies,4.32,7192,2.133
403098,A Man for All Seasons,Robert Bolt,3.91,10197,2.121
10739,The Moviegoer,Walker Percy,3.69,22065,2.108
146746,The Jewel in the Crown,Paul Scott,4.15,4598,2.103
5204,We Were the Mulvaneys,Joyce Carol Oates,3.71,85477,2.088
567678,The Wasp Factory,Iain Banks,3.84,58710,2.085
91661,The Beekeeper's Apprentice,Laurie R. King,4.07,60322,2.084
10603,Cujo,Stephen King,3.68,189925,2.073
10629,Christine,Stephen King,3.74,170832,2.072
12557,The Kitchen God's Wife,Amy Tan,3.99,66598,2.072
42692,Mila 18,Leon Uris,4.28,21661,2.067
11346,Sula,Toni Morrison,3.89,47635,2.057
34440,Doctor Faustus,Thomas Mann,4.08,8499,2.057
78039,Ramona the Pest,Beverly Cleary,4.05,57047,2.054
7770,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,4.12,139367,2.054
63033,The Savage Detectives,Roberto Bolaño,4.10,26791,2.049
91203,Three Comrades,Erich Maria Remarque,4.48,19823,2.044
3378,Generation X: Tales for an Accelerated Culture,Douglas Coupland,3.73,24390,2.039
7869,The Bourne Identity,Robert Ludlum,4.00,359586,2.037
184419,The Man Who Was Thursday: A Nightmare,G.K. Chesterton,3.85,25839,2.035
43916,Magician,Raymond E. Feist,4.33,52914,2.033
41977,Circle of Friends,Maeve Binchy,4.01,54028,2.023
46456,The Women's Room,Marilyn French,3.94,6946,2.004
3473,A Walk to Remember,Nicholas Sparks,4.16,585180,1.996
3980,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,4.15,158175,1.993
74176,The Protestant Ethic and the Spirit of Capitalism,Max Weber,3.89,8969,1.982
210404,A Sand County Almanac and Sketches Here and There,Aldo Leopold,4.25,20940,1.963
21611,The Forever War,Joe Haldeman,4.15,116396,1.941
79834,Lust for Life,Irving Stone,4.22,17636,1.925
5544,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Richard Feynman,4.28,120405,1.923
327847,The Joy of Cooking,Irma S. Rombauer,4.13,124107,1.923
214614,Desert Solitaire,Edward Abbey,4.22,33313,1.911
44186,The Monster at the End of this Book,Jon Stone,4.44,113330,1.907
22911,Amerika,Franz Kafka,3.75,19433,1.900
10988,Drums of Autumn,Diana Gabaldon,4.34,168574,1.895
37677,The Call of the Wild/White Fang,Jack London,4.09,67898,1.886
395182,Lucky Jim,Kingsley Amis,3.79,22177,1.884
8837,"Wind, Sand and Stars",Antoine de Saint-Exupéry,4.18,10425,1.882
26596,"Complete Poems, 1904-1962",E.E. Cummings,4.35,19431,1.879
296662,Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,James W. Loewen,3.96,45047,1.879
472025,Why I Am Not a Christian and Other Essays on Religion and Related Subjects,Bertrand Russell,4.02,16506,1.875
32669,Clear and Present Danger,Tom Clancy,4.09,116428,1.871
69091,The Clown,Heinrich Böll,4.04,16774,1.849
7073,A Son of the Circus,John Irving,3.62,17495,1.838
133380,Collected Poems,Edna St. Vincent Millay,4.23,7825,1.827
424,Slouching Towards Bethlehem,Joan Didion,4.22,26841,1.826
218659,Everything That Rises Must Converge: Stories,Flannery O&#39;Connor,4.27,16292,1.823
50275,Last Exit to Brooklyn,Hubert Selby Jr.,3.94,19492,1.816
140963,O Pioneers!,Willa Cather,3.85,40308,1.816
1547992,Selected Poems,Pablo Neruda,4.39,3130,1.816
77244,Lake Wobegon Days,Garrison Keillor,3.63,6533,1.812
9822,Mrs. Frisby and the Rats of NIMH,Robert C. O&#39;Brien,4.14,153410,1.805
89724,We Have Always Lived in the Castle,Shirley Jackson,4.03,72633,1.803
11686,The Stories of John Cheever,John Cheever,4.27,13273,1.800
30594,"Speak, Memory",Vladimir Nabokov,4.19,10309,1.790
16396,The Inimitable Jeeves,P.G. Wodehouse,4.26,15970,1.786
355190,Orientalism,Edward W. Said,4.08,13531,1.760
95558,Solaris,Stanisław Lem,3.98,57480,1.754
7779,Horton Hears a Who!,Dr. Seuss,4.17,87407,1.743
7628,The Good Soldier,Ford Madox Ford,3.72,19952,1.733
540020,The Day of the Jackal,Frederick Forsyth,4.26,97927,1.731
592657,Deliverance,James Dickey,3.87,27606,1.729
72159,Cat on a Hot Tin Roof,Tennessee Williams,4.08,48787,1.726
7061,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,3.77,205710,1.710
12279,"Molloy, Malone Dies, The Unnamable",Samuel Beckett,4.28,7561,1.709
11557,Swan Song,Robert R. McCammon,4.28,47802,1.705
80369,Discipline and Punish: The Birth of the Prison,Michel Foucault,4.21,21016,1.704
53022,The Collected Poems of W.B. Yeats,W.B. Yeats,4.25,32271,1.698
14376,Einstein's Dreams,Alan Lightman,4.08,27057,1.696
3711,White Teeth,Zadie Smith,3.76,102415,1.685
16343,The Mysterious Affair at Styles,Agatha Christie,3.98,189201,1.684
51113,The Samurai's Garden,Gail Tsukiyama,4.12,19477,1.681
60931,Kindred,Octavia E. Butler,4.22,63447,1.675
592191,Birdy,William Wharton,4.04,5119,1.674
77554,The Stone Diaries,Carol Shields,3.86,33528,1.668
9827,King Rat,James Clavell,4.12,29604,1.667
25807,The Postman Always Rings Twice,James M. Cain,3.80,26244,1.649
68494,Perdido Street Station,China Miéville,3.97,51196,1.637
138165,"Poetry, Drama and Prose",W.B. Yeats,4.26,2716,1.634
68086,"The Maltese Falcon, The Thin Man, Red Harvest",Dashiell Hammett,4.31,1695,1.632
78024,And Quiet Flows the Don,Mikhail Sholokhov,4.05,9195,1.620
60748,A Child Called &quot;It&quot;,Dave Pelzer,4.09,339485,1.596
11438,What We Talk About When We Talk About Love,Raymond Carver,4.20,38328,1.592
369110,Captains and the Kings,Taylor Caldwell,4.12,16761,1.588
97333,At Swim-Two-Birds,Flann O&#39;Brien,3.91,10365,1.588
3088,A Room with a View / Howards End,E.M. Forster,4.09,2338,1.583
5359,The Client,John Grisham,3.99,350604,1.582
254316,Cancer Ward,Aleksandr Solzhenitsyn,4.20,11908,1.573
333538,The Castle,Franz Kafka,3.97,36085,1.571
33609,Katherine,Anya Seton,4.18,26350,1.566
607639,The Beach,Alex Garland,3.93,62709,1.556
105992,Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,4.02,106918,1.554
250,Tropic of Capricorn,Henry Miller,3.85,14682,1.549
93941,The King Must Die,Mary Renault,4.01,5994,1.545
43889,Wizard's First Rule,Terry Goodkind,4.13,205860,1.532
2978,Lost Horizon,James Hilton,3.92,14783,1.532
108229,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,4.08,94699,1.524
384597,Arcadia,Tom Stoppard,4.19,17629,1.519
23940,Junky,William S. Burroughs,3.85,47981,1.513
509784,The End of Eternity,Isaac Asimov,4.23,36329,1.512
11499,The Promise,Chaim Potok,4.14,11410,1.507
497199,Factotum,Charles Bukowski,3.96,45899,1.506
11298,A Wild Sheep Chase,Haruki Murakami,3.94,72983,1.493
110737,Seabiscuit: An American Legend,Laura Hillenbrand,4.21,126777,1.492
37387,The Prime of Miss Jean Brodie / The Girls of Slender Means / The Driver's Seat / The Only Problem,Muriel Spark,3.78,1552,1.486
6294,Howl's Moving Castle,Diana Wynne Jones,4.30,163140,1.484
12813565,Invisible Monsters Remix,Chuck Palahniuk,4.00,107730,1.483
96642,Rocket Boys,Homer Hickam,4.19,14466,1.479
15581,Ferdydurke,Witold Gombrowicz,3.86,8189,1.475
9570,Another Roadside Attraction,Tom Robbins,3.98,29481,1.475
2050,"Farewell, My Lovely",Raymond Chandler,4.16,26456,1.469
15575,The Sword of Shannara,Terry Brooks,3.76,74241,1.462
25019,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary",Simon Winchester,3.84,84488,1.457
333867,The Stars My Destination,Alfred Bester,4.12,36637,1.455
88432,Life and Fate,Vasily Grossman,4.43,6173,1.451
77770,These Happy Golden Years,Laura Ingalls Wilder,4.18,58164,1.447
171547,Songs of Innocence and of Experience,William Blake,4.11,33792,1.447
89370,Tao of Pooh and Te of Piglet Boxed Set,Benjamin Hoff,4.15,10227,1.445
10033,Being and Nothingness,Jean-Paul Sartre,3.95,23418,1.445
39926,The Beauty Myth,Naomi Wolf,3.90,16603,1.444
386372,Mort,Terry Pratchett,4.23,162502,1.442
8248,By the Shores of Silver Lake,Laura Ingalls Wilder,4.17,61782,1.439
124509,Smilla's Sense of Snow,Peter Høeg,3.73,35683,1.432
13928,Daughter of the Forest,Juliet Marillier,4.28,47794,1.428
310459,"Roll of Thunder, Hear My Cry",Mildred D. Taylor,3.81,103079,1.426
59780,Cosmicomics,Italo Calvino,4.20,12819,1.425
127586,The White Dragon,Anne McCaffrey,4.18,38422,1.424
625094,The Leopard,Giuseppe Tomasi di Lampedusa,3.99,17836,1.424
54270,Mein Kampf,Adolf Hitler,3.15,27445,1.422
22478,The Origin of Consciousness in the Breakdown of the Bicameral Mind,Julian Jaynes,4.25,3572,1.421
3579,The Complete Anne of Green Gables Boxed Set,L.M. Montgomery,4.43,94414,1.421
40493,The Valley of Horses,Jean M. Auel,3.99,65890,1.420
44028,The Angela's Ashes/'Tis Boxed Set,Frank McCourt,4.09,1343,1.416
113304,The Thief Lord,Cornelia Funke,3.96,72716,1.416
77392,Anne of the Island,L.M. Montgomery,4.22,109572,1.414
348225,"These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories",Nancy E. Turner,4.34,59483,1.400
158420,Alcoholics Anonymous,Alcoholics Anonymous,4.44,6862,1.398
464260,The Fire Next Time,James Baldwin,4.50,29503,1.397
16213,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard Preston,4.11,83840,1.394
49256,The Unabridged Devil's Dictionary,Ambrose Bierce,4.14,6544,1.390
240976,The Book of Laughter and Forgetting,Milan Kundera,4.00,35729,1.388
1399975,Paradise,Toni Morrison,3.78,20299,1.385
61539,The Structure of Scientific Revolutions,Thomas S. Kuhn,4.00,19237,1.384
57913,The Illuminatus! Trilogy,Robert Shea,4.00,13806,1.380
77276,A Swiftly Tilting Planet,Madeleine L&#39;Engle,4.12,93042,1.374
26114,The Joke,Milan Kundera,3.99,23163,1.364
12187,"Ada, or Ardor: A Family Chronicle",Vladimir Nabokov,4.15,8410,1.364
174834,The Cost of Discipleship,Dietrich Bonhoeffer,4.31,28144,1.364
99208,The Monkey Wrench Gang,Edward Abbey,4.09,18522,1.362
38501,Ham on Rye,Charles Bukowski,4.16,69389,1.360
93575,Gaudy Night,Dorothy L. Sayers,4.24,19879,1.357
18825,Money,Martin Amis,3.70,17930,1.357
35476,Black Elk Speaks: Being the Life Story of a Holy Man of the Oglala Sioux,Black Elk,4.13,11862,1.348
31548,Of Human Bondage,W. Somerset Maugham,4.13,41899,1.345
46917,Rabbit Redux,John Updike,3.80,12732,1.341
32979,The Secret of the Old Clock,Carolyn Keene,3.98,54605,1.336
7669,Timeline,Michael Crichton,3.84,170875,1.335
2279,Truman,David McCullough,4.11,70436,1.332
3446,Going After Cacciato,Tim O&#39;Brien,3.90,10489,1.328
968868,The Book of the New Sun,Gene Wolfe,4.16,3033,1.328
75504,The Collected Poems,Wallace Stevens,4.27,10311,1.327
762806,Gorky Park,Martin Cruz Smith,4.04,51973,1.326
299215,The Road to Serfdom,Friedrich A. Hayek,4.18,15786,1.322
567704,Imajica,Clive Barker,4.16,18913,1.318
2517,My Name is Red,Orhan Pamuk,3.84,37884,1.317
14064,I Am Legend,Richard Matheson,4.06,73030,1.311
427282,The Periodic Table,Primo Levi,4.19,8560,1.302
8716,Lincoln,Gore Vidal,4.20,7562,1.300
51019,Cat's Eye,Margaret Atwood,3.93,49626,1.299
78983,Kane and Abel,Jeffrey Archer,4.28,86920,1.286
115476,Nostromo,Joseph Conrad,3.82,13943,1.285
45107,Assassin's Apprentice,Robin Hobb,4.15,189255,1.279
3562,Emily of New Moon,L.M. Montgomery,4.09,38409,1.273
8722,Burr,Gore Vidal,4.07,7444,1.271
12568,Trout Fishing in America / The Pill vs. the Springhill Mine Disaster / In Watermelon Sugar,Richard Brautigan,4.15,8595,1.270
12661,Chesapeake,James A. Michener,4.17,19867,1.269
113205,Heart of a Dog,Mikhail Bulgakov,4.14,30826,1.267
486298,Death Be Not Proud,John Gunther,3.81,10280,1.266
31491,The Rainbow,D.H. Lawrence,3.68,17115,1.264
